code,nameAr,coreStatus,coreAcademicYear,coreGrades,coreLessons,nationalMatchingStatus,verificationStatus,nationalComplete,sourceCount,verifiedPackCount,publicationReadiness,missingEvidence
"LY","ليبيا","LIVE","2026-2027","12","216","partial","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"MA","المغرب","LIVE","2026-2027","12","216","not-closed","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"MR","موريتانيا","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"OM","عُمان","LIVE","2026-2027","12","216","not-closed","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"PS","فلسطين","LIVE","2026-2027","12","216","partial","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"QA","قطر","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"SA","السعودية","LIVE","2026-2027","12","216","not-closed","candidate","false","3","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"SD","السودان","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"SO","الصومال","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"SY","سوريا","LIVE","2026-2027","12","216","not-closed","needs-verification","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"TN","تونس","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"YE","اليمن","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
